,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
654,no checking account,24,critical account/other credits existing (not at this bank),car(used),2346,< 100 DM,4-7 years,4,male;single,bank,3,car or other,35,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) car(used) 2346 < 100 DM 4-7 years 4 male;single bank 3 car or other 35 none own 2 skilled employee;official 1 Yes Yes
655,< 0,14,existing credits paid back duly till now,car(new),3973,< 100 DM,unemployed,1,male;single,bank,4,unknown / no property,22,none,for free,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 14 existing credits paid back duly till now car(new) 3973 < 100 DM unemployed 1 male;single bank 4 unknown / no property 22 none for free 1 skilled employee;official 1 No Yes
656,0-200 DM,12,existing credits paid back duly till now,car(new),888,< 100 DM,>=7 years,4,male;single,bank,4,car or other,41,bank,own,1,unskilled;resident,2,No,Yes,__label__2,__label__2 0-200 DM 12 existing credits paid back duly till now car(new) 888 < 100 DM >=7 years 4 male;single bank 4 car or other 41 bank own 1 unskilled;resident 2 No Yes
657,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/no savings account,4-7 years,4,male;single,bank,3,car or other,37,stores,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 48 existing credits paid back duly till now radio/television 10222 unknown/no savings account 4-7 years 4 male;single bank 3 car or other 37 stores own 1 skilled employee;official 1 Yes Yes
658,0-200 DM,30,no credits taken/all credits paid back duly,business,4221,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,1,car or other,28,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 30 no credits taken/all credits paid back duly business 4221 < 100 DM 1-4 years 2 female;divorced/separated/married bank 1 car or other 28 none own 2 skilled employee;official 1 No Yes
659,0-200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,6361,< 100 DM,>=7 years,2,male;single,bank,1,unknown / no property,41,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 critical account/other credits existing (not at this bank) furniture/equipment 6361 < 100 DM >=7 years 2 male;single bank 1 unknown / no property 41 none own 1 skilled employee;official 1 Yes Yes
660,>=200 DM,12,existing credits paid back duly till now,radio/television,1297,< 100 DM,1-4 years,3,male;married/widowed,bank,4,real estate,23,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 12 existing credits paid back duly till now radio/television 1297 < 100 DM 1-4 years 3 male;married/widowed bank 4 real estate 23 none rent 1 skilled employee;official 1 No Yes
661,< 0,12,existing credits paid back duly till now,car(new),900,unknown/no savings account,1-4 years,4,male;married/widowed,bank,2,car or other,23,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 12 existing credits paid back duly till now car(new) 900 unknown/no savings account 1-4 years 4 male;married/widowed bank 2 car or other 23 none own 1 skilled employee;official 1 No Yes
662,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,< 100 DM,>=7 years,4,male;single,bank,2,real estate,50,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 21 existing credits paid back duly till now furniture/equipment 2241 < 100 DM >=7 years 4 male;single bank 2 real estate 50 none own 2 skilled employee;official 1 No Yes
663,0-200 DM,6,delay in paying off in the past,furniture/equipment,1050,< 100 DM,unemployed,4,male;single,bank,1,building society savings agreement/life insurance,35,stores,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 6 delay in paying off in the past furniture/equipment 1050 < 100 DM unemployed 4 male;single bank 1 building society savings agreement/life insurance 35 stores own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
664,>=200 DM,6,critical account/other credits existing (not at this bank),education,1047,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,50,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 >=200 DM 6 critical account/other credits existing (not at this bank) education 1047 < 100 DM 1-4 years 2 female;divorced/separated/married bank 4 building society savings agreement/life insurance 50 none own 1 unskilled;resident 1 No Yes
665,no checking account,24,critical account/other credits existing (not at this bank),others,6314,< 100 DM,unemployed,4,male;single,stores,2,unknown / no property,27,bank,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) others 6314 < 100 DM unemployed 4 male;single stores 2 unknown / no property 27 bank own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
666,0-200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,>=1000 DM,1-4 years,4,male;single,bank,2,car or other,34,stores,own,1,skilled employee;official,2,Yes,Yes,__label__1,__label__1 0-200 DM 30 all credits at this bank paid back duly furniture/equipment 3496 >=1000 DM 1-4 years 4 male;single bank 2 car or other 34 stores own 1 skilled employee;official 2 Yes Yes
667,no checking account,48,all credits at this bank paid back duly,business,3609,< 100 DM,1-4 years,1,female;divorced/separated/married,bank,1,real estate,27,stores,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 48 all credits at this bank paid back duly business 3609 < 100 DM 1-4 years 1 female;divorced/separated/married bank 1 real estate 27 stores own 1 skilled employee;official 1 No Yes
668,< 0,12,critical account/other credits existing (not at this bank),car(new),4843,< 100 DM,>=7 years,3,male;single,stores,4,building society savings agreement/life insurance,43,none,rent,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 12 critical account/other credits existing (not at this bank) car(new) 4843 < 100 DM >=7 years 3 male;single stores 4 building society savings agreement/life insurance 43 none rent 2 skilled employee;official 1 Yes Yes
669,>=200 DM,30,critical account/other credits existing (not at this bank),radio/television,3017,< 100 DM,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,47,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 30 critical account/other credits existing (not at this bank) radio/television 3017 < 100 DM >=7 years 4 male;single bank 4 building society savings agreement/life insurance 47 none own 1 skilled employee;official 1 No Yes
670,no checking account,24,critical account/other credits existing (not at this bank),business,4139,100-500 DM,1-4 years,3,male;single,bank,3,building society savings agreement/life insurance,27,none,own,2,unskilled;resident,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) business 4139 100-500 DM 1-4 years 3 male;single bank 3 building society savings agreement/life insurance 27 none own 2 unskilled;resident 1 Yes Yes
671,no checking account,36,existing credits paid back duly till now,business,5742,100-500 DM,4-7 years,2,male;single,bank,2,car or other,31,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 36 existing credits paid back duly till now business 5742 100-500 DM 4-7 years 2 male;single bank 2 car or other 31 none own 2 skilled employee;official 1 Yes Yes
672,no checking account,60,existing credits paid back duly till now,car(new),10366,< 100 DM,>=7 years,2,male;single,bank,4,building society savings agreement/life insurance,42,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 60 existing credits paid back duly till now car(new) 10366 < 100 DM >=7 years 2 male;single bank 4 building society savings agreement/life insurance 42 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
673,no checking account,6,critical account/other credits existing (not at this bank),car(new),2080,500-1000 DM,1-4 years,1,male;married/widowed,bank,2,car or other,24,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 critical account/other credits existing (not at this bank) car(new) 2080 500-1000 DM 1-4 years 1 male;married/widowed bank 2 car or other 24 none own 1 skilled employee;official 1 No Yes
674,no checking account,21,delay in paying off in the past,business,2580,500-1000 DM,<1 year,4,male;single,bank,2,real estate,41,bank,own,1,unskilled;resident,2,No,Yes,__label__2,__label__2 no checking account 21 delay in paying off in the past business 2580 500-1000 DM <1 year 4 male;single bank 2 real estate 41 bank own 1 unskilled;resident 2 No Yes
675,no checking account,30,critical account/other credits existing (not at this bank),radio/television,4530,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,4,car or other,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 30 critical account/other credits existing (not at this bank) radio/television 4530 < 100 DM 4-7 years 4 female;divorced/separated/married bank 4 car or other 26 none rent 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
676,no checking account,24,critical account/other credits existing (not at this bank),furniture/equipment,5150,< 100 DM,>=7 years,4,male;single,bank,4,car or other,33,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) furniture/equipment 5150 < 100 DM >=7 years 4 male;single bank 4 car or other 33 none own 1 skilled employee;official 1 Yes Yes
677,0-200 DM,72,existing credits paid back duly till now,radio/television,5595,100-500 DM,1-4 years,2,male;married/widowed,bank,2,car or other,24,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 72 existing credits paid back duly till now radio/television 5595 100-500 DM 1-4 years 2 male;married/widowed bank 2 car or other 24 none own 1 skilled employee;official 1 No Yes
678,< 0,24,existing credits paid back duly till now,radio/television,2384,< 100 DM,>=7 years,4,male;single,bank,4,real estate,64,bank,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now radio/television 2384 < 100 DM >=7 years 4 male;single bank 4 real estate 64 bank rent 1 unskilled;resident 1 No Yes
679,no checking account,18,existing credits paid back duly till now,radio/television,1453,< 100 DM,<1 year,3,female;divorced/separated/married,bank,1,real estate,26,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 18 existing credits paid back duly till now radio/television 1453 < 100 DM <1 year 3 female;divorced/separated/married bank 1 real estate 26 none own 1 skilled employee;official 1 No Yes
680,no checking account,6,existing credits paid back duly till now,education,1538,< 100 DM,<1 year,1,female;divorced/separated/married,bank,2,unknown / no property,56,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 existing credits paid back duly till now education 1538 < 100 DM <1 year 1 female;divorced/separated/married bank 2 unknown / no property 56 none own 1 skilled employee;official 1 No Yes
681,no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/no savings account,1-4 years,4,male;single,bank,4,unknown / no property,37,none,for free,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 2279 unknown/no savings account 1-4 years 4 male;single bank 4 unknown / no property 37 none for free 1 skilled employee;official 1 Yes Yes
682,no checking account,15,delay in paying off in the past,radio/television,1478,< 100 DM,1-4 years,4,male;married/widowed,bank,3,real estate,33,bank,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 15 delay in paying off in the past radio/television 1478 < 100 DM 1-4 years 4 male;married/widowed bank 3 real estate 33 bank own 2 skilled employee;official 1 No Yes
